time;NETWORK_NGEN_Upu_value;NETWORK_NLOAD_Upu_value;GEN_generator_omegaPu;GEN_generator_PGen;GEN_generator_QGen;GEN_generator_UStatorPu;GEN_voltageRegulator_EfdPu;LOAD_load_PPu;LOAD_load_QPu;LOAD_load_motors_0__PPu;LOAD_load_motors_0__QPu;LOAD_load_motors_0__cePu;LOAD_load_motors_0__clPu;LOAD_load_motors_0__omegaRPu;LOAD_load_motors_0__s;LOAD_load_motors_0__EdPPu;LOAD_load_motors_0__EqPPu;LOAD_load_motors_0__EdPPPu;LOAD_load_motors_0__EqPPPu;LOAD_load_motors_0__idPu;LOAD_load_motors_0__iqPu;LOAD_load_motors_1__PPu;LOAD_load_motors_1__QPu;LOAD_load_motors_1__cePu;LOAD_load_motors_1__clPu;LOAD_load_motors_1__omegaRPu;LOAD_load_motors_1__s;LOAD_load_motors_1__EdPPu;LOAD_load_motors_1__EqPPu;LOAD_load_motors_1__EdPPPu;LOAD_load_motors_1__EqPPPu;LOAD_load_motors_1__idPu;LOAD_load_motors_1__iqPu;
1.010035;0.513881;0.433937;0.999985;837.586056;656.192676;0.627298;5.000000;-0.154247;-0.773016;-0.119569;-0.448019;-0.131294;0.942561;0.828019;0.171969;0.272236;-0.475617;0.254972;-0.467749;0.633299;0.626304;-0.734977;-0.398600;-0.689820;0.914190;0.944915;0.055071;0.526863;-0.413859;0.440977;-0.420097;-0.035000;1.605422;
1.010957;0.509659;0.426739;0.999984;823.824238;657.085372;0.623855;5.000000;-0.033943;-0.742910;-0.022606;-0.420171;-0.045774;0.942561;0.823250;0.176736;0.237171;-0.473122;0.223404;-0.463613;0.697195;0.435088;-0.688600;-0.393921;-0.645830;0.911373;0.943458;0.056526;0.506046;-0.420316;0.422178;-0.423606;0.024515;1.549080;
1.011878;0.505763;0.419720;0.999982;810.539887;657.906546;0.620669;5.000000;0.074485;-0.711472;0.062279;-0.390166;0.027364;0.942561;0.818849;0.181136;0.205003;-0.468374;0.194617;-0.457628;0.741576;0.255984;-0.642962;-0.390165;-0.602696;0.908642;0.942044;0.057939;0.485476;-0.426181;0.403929;-0.426523;0.082340;1.491013;
1.012800;0.502172;0.412886;0.999981;797.747544;658.647751;0.617721;5.000000;0.172054;-0.678925;0.136117;-0.358538;0.089556;0.942561;0.814762;0.185222;0.175670;-0.461735;0.168504;-0.450120;0.768859;0.089297;-0.598071;-0.387022;-0.560416;0.905997;0.940672;0.059310;0.465172;-0.431452;0.386185;-0.428881;0.138281;1.431159;
1.013721;0.498865;0.406246;0.999979;785.459819;659.300568;0.614993;5.000000;0.259657;-0.645525;0.199866;-0.325803;0.142069;0.942561;0.810940;0.189043;0.149085;-0.453543;0.144949;-0.441386;0.781308;-0.064818;-0.553991;-0.384231;-0.519047;0.903434;0.939340;0.060640;0.445159;-0.436129;0.368921;-0.430706;0.192112;1.369582;
1.014643;0.495824;0.399811;0.999978;773.685737;659.857426;0.612468;5.000000;0.338107;-0.611538;0.254425;-0.292447;0.186028;0.942561;0.807342;0.192640;0.125146;-0.444111;0.123832;-0.431700;0.781038;-0.206358;-0.510808;-0.381573;-0.478668;0.900952;0.938049;0.061930;0.425457;-0.440216;0.352126;-0.432024;0.243609;1.306429;
1.015565;0.493030;0.393589;0.999977;762.429895;660.312095;0.610130;5.000000;0.408158;-0.577230;0.300646;-0.258915;0.222442;0.942561;0.803931;0.196051;0.103731;-0.433724;0.105019;-0.421306;0.770021;-0.335462;-0.468616;-0.378866;-0.439364;0.898547;0.936796;0.063182;0.406088;-0.443721;0.335797;-0.432859;0.292570;1.241896;
1.016486;0.490463;0.387588;0.999976;751.692178;660.659966;0.607963;5.000000;0.470524;-0.542856;0.339336;-0.225612;0.252222;0.942561;0.800673;0.199308;0.084703;-0.422641;0.088373;-0.410424;0.750080;-0.452400;-0.427504;-0.375963;-0.401217;0.896219;0.935582;0.064395;0.387074;-0.446652;0.319931;-0.433233;0.338822;1.176212;
1.017408;0.488106;0.381814;0.999975;741.467872;660.898141;0.605952;5.000000;0.525876;-0.508654;0.371260;-0.192891;0.276190;0.942561;0.797540;0.202440;0.067919;-0.411091;0.073749;-0.399249;0.722887;-0.557556;-0.387552;-0.372746;-0.364297;0.893963;0.934404;0.065572;0.368433;-0.449023;0.304531;-0.433172;0.382228;1.109622;
1.018329;0.485940;0.376271;0.999974;731.748017;661.025421;0.604083;5.000000;0.574851;-0.474840;0.397141;-0.161056;0.295087;0.942561;0.794506;0.205473;0.053224;-0.399277;0.060998;-0.387952;0.689961;-0.651410;-0.348828;-0.369124;-0.328662;0.891779;0.933261;0.066714;0.350183;-0.450846;0.289595;-0.432699;0.422684;1.042375;
