time;SVarC_injector_UPu;SVarC_injector_BPu;SVarC_injector_GPu;SVarC_injector_PInjPu;SVarC_injector_QInjPu;SVarC_control_regulation_IPu;SVarC_control_regulation_IMaxPu;SVarC_control_modeHandling_mode;SVarC_control_modeHandling_URefPu;
1.18421;0.988005;1.053701;0.000000;0.000000;2.571432;1.041061;1.000000;3.000000;1.000000;
1.1883;0.987897;1.052378;0.000000;0.000000;2.567647;1.039641;1.000000;3.000000;1.000000;
1.1924;0.987794;1.051101;0.000000;0.000000;2.563994;1.038271;1.000000;3.000000;1.000000;
1.19649;0.987694;1.049868;0.000000;0.000000;2.560469;1.036948;1.000000;3.000000;1.000000;
1.20469;0.987504;1.047527;0.000000;0.000000;2.553778;1.034437;1.000000;3.000000;1.000000;
1.22107;0.987183;1.043570;0.000000;0.000000;2.542477;1.030195;1.000000;3.000000;1.000000;
1.23745;0.986902;1.040099;0.000000;0.000000;2.532582;1.026477;1.000000;3.000000;1.000000;
1.25384;0.986656;1.037056;0.000000;0.000000;2.523912;1.023218;1.000000;3.000000;1.000000;
1.28661;0.986232;1.031814;0.000000;0.000000;2.508994;1.017608;1.000000;3.000000;1.000000;
1.31937;0.985903;1.027743;0.000000;0.000000;2.497429;1.013255;1.000000;3.000000;1.000000;
1.38491;0.985448;1.022110;0.000000;0.000000;2.481447;1.007236;1.000000;3.000000;1.000000;
1.44207;0.985218;1.019257;0.000000;0.000000;2.473366;1.004190;1.000000;3.000000;1.000000;
1.49924;0.985080;1.017553;0.000000;0.000000;2.468538;1.002371;1.000000;3.000000;1.000000;
1.5564;0.985001;1.016566;0.000000;0.000000;2.465745;1.001317;1.000000;3.000000;1.000000;
1.61356;0.984956;1.016006;0.000000;0.000000;2.464161;1.000720;1.000000;3.000000;1.000000;
1.67072;0.984930;1.015694;0.000000;0.000000;2.463279;1.000387;1.000000;3.000000;1.000000;
1.72788;0.984917;1.015523;0.000000;0.000000;2.462796;1.000205;1.000000;3.000000;1.000000;
1.84221;0.984903;1.015349;0.000000;0.000000;2.462307;1.000020;1.000000;3.000000;1.000000;
1.95653;0.984902;1.015340;0.000000;0.000000;2.462279;1.000010;1.000000;3.000000;1.000000;
2.18518;0.984901;1.015333;0.000000;0.000000;2.462262;1.000003;1.000000;3.000000;1.000000;
2.64248;0.984901;1.015331;0.000000;0.000000;2.462255;1.000001;1.000000;3.000000;1.000000;
3;0.984901;1.015330;0.000000;0.000000;2.462253;1.000000;1.000000;3.000000;1.000000;
