time;WECCPVVSource_photovoltaicsV_wecc_reec_PInjPu;WECCPVVSource_photovoltaicsV_wecc_reec_QInjPu;WECCPVVSource_photovoltaicsV_injector_terminal_V_re;WECCPVVSource_photovoltaicsV_injector_terminal_i_re;WECCPVVSource_photovoltaicsV_injector_terminal_V_im;WECCPVVSource_photovoltaicsV_injector_terminal_i_im;WECCPVVSource_photovoltaicsV_pll_omegaPLLPu;
1.0008881477;0.4408750053;1.7461501847;1.0066883696;-0.8817500105;0.2204393244;2.0267367286;1.0000023461;
1.0009681477;0.4466597334;1.7329741169;1.0030131171;-0.8933194668;0.2233317124;2.0120358403;1.0000023309;
1.0011281477;0.4573014155;1.7069384923;0.9957793362;-0.9146028310;0.2286525974;1.9831009557;1.0000022912;
1.0014481477;0.4752683695;1.6561110518;0.9817711756;-0.9505367390;0.2376361487;1.9270687764;1.0000021822;
1.0017681477;0.4893240133;1.6069011954;0.9683759298;-0.9786480267;0.2446640287;1.8734882359;1.0000020433;
1.0024081477;0.5085167735;1.5131589767;0.9432457673;-1.0170335471;0.2542604881;1.7729684167;1.0000017244;
1.0030481477;0.5183992610;1.4254051496;0.9202132700;-1.0367985220;0.2592017726;1.6808391888;1.0000013864;
1.0036881477;0.5217534030;1.3432965912;0.8989980020;-1.0435068061;0.2608788575;1.5959788182;1.0000010635;
1.0043281477;0.5206510102;1.2665685245;0.8793410201;-1.0413020204;0.2603276565;1.5173515403;1.0000007747;
1.0049681477;0.5166692525;1.1949368778;0.8610285405;-1.0333385051;0.2583367612;1.4441022272;1.0000005286;
1.0056081477;0.5109220506;1.1280920912;0.8438789669;-1.0218441012;0.2554631365;1.3755044998;1.0000003269;
1.0061278067;0.5055332588;1.0771325193;0.8307052145;-1.0110665175;0.2527687183;1.3228099257;1.0000001937;
1.0061278067;0.5055332588;1.0771325193;0.8307052145;-1.0110665175;0.2527687183;1.3228099257;1.0000001937;
1.0061378067;0.5053275233;1.0762156927;0.8304591844;-1.0106550467;0.2526658498;1.3218258135;1.0000001902;
1.0061478067;0.5052162822;1.0752653275;0.8302129365;-1.0104325643;0.2526102287;1.3208408302;1.0000001880;
1.0061678067;0.5049993803;1.0733650747;0.8297209300;-1.0099987605;0.2525017769;1.3188728205;1.0000001836;
1.0062078067;0.5045471880;1.0695831055;0.8287395698;-1.0090943759;0.2522756789;1.3149474118;1.0000001746;
1.0062878067;0.5036507348;1.0620641349;0.8267870908;-1.0073014697;0.2518274486;1.3071375607;1.0000001573;
1.0064478067;0.5018459183;1.0472219289;0.8229230128;-1.0036918366;0.2509250329;1.2916813764;1.0000001244;
1.0067678067;0.4982091867;1.0183040330;0.8153531082;-0.9964183734;0.2491066520;1.2614020082;1.0000000649;
1.0068154265;0.4976685842;1.0140843512;0.8142435903;-0.9953371684;0.2488363486;1.2569639732;1.0000000567;
1.0068154265;0.4976685842;1.0140843512;0.8142435903;-0.9953371684;0.2488363486;1.2569639732;1.0000000567;
