time;WECCPVVSource_photovoltaics_wecc_reec_PInjPu;WECCPVVSource_photovoltaics_wecc_reec_QInjPu;WECCPVVSource_photovoltaics_injector_terminal_V_re;WECCPVVSource_photovoltaics_injector_terminal_i_re;WECCPVVSource_photovoltaics_injector_terminal_V_im;WECCPVVSource_photovoltaics_injector_terminal_i_im;WECCPVVSource_photovoltaics_pll_omegaPLLPu;
4.038270;0.421314;0.309680;0.488988;-0.842628;0.463445;-0.020021;0.983002;
4.038270;0.421311;0.309675;0.488988;-0.842622;0.463442;-0.020023;0.983003;
4.038271;0.421306;0.309666;0.488986;-0.842612;0.463437;-0.020025;0.983004;
4.038272;0.421301;0.309657;0.488985;-0.842602;0.463431;-0.020027;0.983005;
4.038274;0.421291;0.309639;0.488982;-0.842582;0.463420;-0.020032;0.983007;
4.038278;0.421271;0.309604;0.488977;-0.842541;0.463398;-0.020042;0.983011;
4.038286;0.421230;0.309533;0.488967;-0.842460;0.463353;-0.020061;0.983020;
4.038302;0.421149;0.309392;0.488946;-0.842298;0.463264;-0.020098;0.983036;
4.038334;0.420987;0.309111;0.488904;-0.841975;0.463086;-0.020174;0.983070;
4.038398;0.420665;0.308550;0.488821;-0.841331;0.462732;-0.020326;0.983137;
4.038526;0.420026;0.307436;0.488653;-0.840052;0.462029;-0.020630;0.983273;
4.038782;0.418767;0.305241;0.488317;-0.837535;0.460644;-0.021243;0.983555;
4.039294;0.416330;0.300981;0.487634;-0.832661;0.457963;-0.022483;0.984151;
4.040318;0.411778;0.292970;0.486225;-0.823556;0.452956;-0.025046;0.985451;
4.041342;0.407654;0.285610;0.484750;-0.815308;0.448419;-0.027726;0.986870;
4.042366;0.403952;0.278869;0.483204;-0.807904;0.444347;-0.030538;0.988375;
4.043390;0.400663;0.272715;0.481581;-0.801325;0.440729;-0.033489;0.989932;
4.044414;0.397772;0.267113;0.479882;-0.795545;0.437550;-0.036578;0.991509;
4.046462;0.393088;0.257400;0.476273;-0.786176;0.432397;-0.043140;0.994580;
4.048203;0.390160;0.250566;0.473028;-0.780319;0.429175;-0.049040;0.997016;
4.048203;0.390160;0.250567;0.473028;-0.780320;0.429176;-0.049040;0.997016;
4.048204;0.390158;0.250563;0.473026;-0.780317;0.429174;-0.049044;0.997017;
4.048205;0.390157;0.250559;0.473024;-0.780314;0.429173;-0.049047;0.997019;
4.048207;0.390154;0.250552;0.473020;-0.780308;0.429170;-0.049054;0.997022;
4.048211;0.390149;0.250538;0.473013;-0.780297;0.429163;-0.049068;0.997027;
4.048219;0.390137;0.250510;0.472997;-0.780275;0.429151;-0.049096;0.997038;
4.048235;0.390115;0.250453;0.472967;-0.780230;0.429127;-0.049151;0.997059;
4.048267;0.390070;0.250340;0.472906;-0.780141;0.429078;-0.049263;0.997103;
4.048331;0.389982;0.250114;0.472783;-0.779964;0.428980;-0.049485;0.997189;
4.048459;0.389809;0.249668;0.472538;-0.779618;0.428790;-0.049931;0.997360;
4.048715;0.389476;0.248794;0.472045;-0.778952;0.428424;-0.050826;0.997698;
4.049227;0.388861;0.247116;0.471054;-0.777723;0.427748;-0.052629;0.998353;
4.050251;0.387821;0.244019;0.469052;-0.775642;0.426603;-0.056270;0.999576;
4.051275;0.387011;0.241247;0.467034;-0.774022;0.425712;-0.059938;1.000675;
4.052299;0.386402;0.238768;0.465015;-0.772805;0.425043;-0.063609;1.001640;
4.053323;0.385966;0.236554;0.463010;-0.771933;0.424563;-0.067255;1.002465;
4.054347;0.385674;0.234575;0.461034;-0.771348;0.424241;-0.070846;1.003146;
4.055371;0.385497;0.232806;0.459105;-0.770995;0.424047;-0.074354;1.003682;
4.056170;0.385422;0.231552;0.457641;-0.770844;0.423964;-0.077016;1.004000;
4.056170;0.385423;0.231552;0.457641;-0.770845;0.423965;-0.077016;1.004000;
4.056171;0.385423;0.231551;0.457639;-0.770845;0.423965;-0.077019;1.004001;
