time;WPP4B_WPP_wPPControl_measurements_PGenNomPu;WPP4B_WPP_wPPControl_measurements_QGenNomPu;WPP4B_WPP_wPPControl_measurements_UPu;WPP4B_WPP_terminal_V_re;WPP4B_WPP_terminal_V_im;WPP4B_WPP_terminal_i_re;WPP4B_WPP_terminal_i_im;WPP4B_WPP_wT4BCurrentSource_gridProtection_fOCB;
2.061849;0.959805;-0.212275;1.001750;0.980037;0.207440;-0.893480;-0.405717;-1.000000;
2.069222;0.952342;-0.212256;1.002160;0.980861;0.205517;-0.886658;-0.402177;-1.000000;
2.076595;0.944629;-0.212204;1.002588;0.981712;0.203530;-0.879605;-0.398518;-1.000000;
2.083968;0.936712;-0.212123;1.003030;0.982584;0.201490;-0.872363;-0.394770;-1.000000;
2.091340;0.928639;-0.212016;1.003481;0.983468;0.199409;-0.864977;-0.390964;-1.000000;
2.106086;0.912204;-0.211758;1.004392;0.985247;0.195173;-0.849934;-0.383297;-1.000000;
2.119357;0.897158;-0.211496;1.005211;0.986841;0.191296;-0.836157;-0.376403;-1.000000;
2.132628;0.881958;-0.211233;1.006016;0.988411;0.187381;-0.822233;-0.369587;-1.000000;
2.145899;0.866658;-0.210983;1.006799;0.989946;0.183443;-0.808213;-0.362892;-1.000000;
2.146729;0.865698;-0.210968;1.006847;0.990041;0.183196;-0.807334;-0.362478;-1.000000;
2.148387;0.863779;-0.210938;1.006943;0.990230;0.182702;-0.805575;-0.361652;-1.000000;
2.151705;0.859938;-0.210880;1.007134;0.990606;0.181714;-0.802055;-0.360006;-1.000000;
2.153364;0.858017;-0.210851;1.007229;0.990793;0.181219;-0.800294;-0.359187;-1.000000;
2.154194;0.857056;-0.210837;1.007276;0.990886;0.180972;-0.799413;-0.358779;-1.000000;
2.154608;0.856576;-0.210830;1.007300;0.990932;0.180848;-0.798973;-0.358575;-1.000000;
2.155438;0.855615;-0.210816;1.007347;0.991025;0.180601;-0.798092;-0.358167;-1.000000;
2.157097;0.853692;-0.210789;1.007441;0.991210;0.180107;-0.796330;-0.357354;-1.000000;
2.160414;0.849847;-0.210735;1.007627;0.991579;0.179118;-0.792805;-0.355736;-1.000000;
2.167050;0.842154;-0.210632;1.007993;0.992307;0.177140;-0.785751;-0.352532;-1.000000;
2.180321;0.826767;-0.210447;1.008705;0.993726;0.173185;-0.771642;-0.346256;-1.000000;
2.206863;0.796031;-0.210150;1.010040;0.996423;0.165292;-0.743444;-0.334231;-1.000000;
2.233405;0.765379;-0.209939;1.011264;0.998935;0.157430;-0.715308;-0.322894;-1.000000;
2.259947;0.734846;-0.209795;1.012384;1.001269;0.149606;-0.687264;-0.312217;-1.000000;
2.286489;0.704452;-0.209701;1.013407;1.003434;0.141824;-0.659332;-0.302173;-1.000000;
2.313031;0.674208;-0.209642;1.014340;1.005438;0.134089;-0.631522;-0.292730;-1.000000;
2.366115;0.614186;-0.209581;1.015959;1.008995;0.118754;-0.576281;-0.275538;-1.000000;
2.419200;0.554776;-0.209569;1.017271;1.011982;0.103598;-0.521542;-0.260479;-1.000000;
2.472284;0.495939;-0.209580;1.018301;1.014439;0.088608;-0.467270;-0.247412;-1.000000;
2.499000;0.466522;-0.209585;1.018720;1.015485;0.081121;-0.440113;-0.241547;-1.000000;
2.499000;0.466519;-0.209589;1.018719;1.015484;0.081121;-0.440109;-0.241551;-1.000000;
2.499001;0.466518;-0.209589;1.018719;1.015484;0.081120;-0.440108;-0.241551;-1.000000;
2.499002;0.466517;-0.209589;1.018719;1.015484;0.081120;-0.440107;-0.241550;-1.000000;
2.499004;0.466514;-0.209589;1.018719;1.015484;0.081120;-0.440105;-0.241550;-1.000000;
2.499008;0.466510;-0.209589;1.018719;1.015484;0.081118;-0.440101;-0.241549;-1.000000;
2.499016;0.466501;-0.209589;1.018719;1.015485;0.081116;-0.440093;-0.241547;-1.000000;
2.499032;0.466484;-0.209589;1.018719;1.015485;0.081112;-0.440077;-0.241544;-1.000000;
2.499064;0.466449;-0.209589;1.018720;1.015486;0.081103;-0.440045;-0.241537;-1.000000;
2.499128;0.466378;-0.209589;1.018721;1.015489;0.081085;-0.439980;-0.241524;-1.000000;
2.499256;0.466238;-0.209589;1.018723;1.015493;0.081049;-0.439850;-0.241497;-1.000000;
2.499512;0.465957;-0.209589;1.018726;1.015503;0.080978;-0.439590;-0.241443;-1.000000;
2.500024;0.465395;-0.209589;1.018734;1.015521;0.080835;-0.439072;-0.241336;-1.000000;
2.500536;0.464833;-0.209590;1.018741;1.015540;0.080692;-0.438553;-0.241228;-1.000000;
2.501560;0.463711;-0.209590;1.018755;1.015577;0.080406;-0.437517;-0.241015;-1.000000;
2.502584;0.462594;-0.209590;1.018770;1.015614;0.080122;-0.436485;-0.240802;-1.000000;
2.503608;0.461485;-0.209589;1.018784;1.015651;0.079840;-0.435461;-0.240591;-1.000000;
2.504632;0.460389;-0.209587;1.018799;1.015688;0.079561;-0.434449;-0.240381;-1.000000;
2.505656;0.459312;-0.209583;1.018814;1.015724;0.079287;-0.433453;-0.240174;-1.000000;
2.506680;0.458257;-0.209578;1.018829;1.015760;0.079018;-0.432479;-0.239970;-1.000000;
2.507704;0.457230;-0.209570;1.018844;1.015795;0.078757;-0.431531;-0.239769;-1.000000;
2.509752;0.455280;-0.209547;1.018875;1.015865;0.078260;-0.429728;-0.239380;-1.000000;
2.511800;0.453478;-0.209515;1.018906;1.015931;0.077801;-0.428064;-0.239011;-1.000000;
2.513848;0.451840;-0.209473;1.018938;1.015995;0.077383;-0.426548;-0.238663;-1.000000;
2.515896;0.450368;-0.209424;1.018970;1.016056;0.077007;-0.425188;-0.238340;-1.000000;
2.517944;0.449062;-0.209369;1.019001;1.016112;0.076673;-0.423979;-0.238041;-1.000000;
