time;WTG4B_WTG4B_injector_PInjPu;WTG4B_WTG4B_injector_QInjPu;WTG4B_WTG4B_injector_terminal_V_re;WTG4B_WTG4B_injector_terminal_i_re;WTG4B_WTG4B_injector_terminal_V_im;WTG4B_WTG4B_injector_terminal_i_im;WTG4B_WTG4B_pll_omegaPLLPu;WTG4B_WTG4B_measurements_UPu;
1.178271;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.998522;0.830000;
1.178445;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.998715;0.830000;
1.178446;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.998716;0.830000;
1.178447;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.998717;0.830000;
1.178449;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.998719;0.830000;
1.178453;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.998724;0.830000;
1.178461;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.998732;0.830000;
1.178477;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.998747;0.830000;
1.178509;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.998779;0.830000;
1.178573;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.998839;0.830000;
1.178701;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.998951;0.830000;
1.178957;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999146;0.830000;
1.179213;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999305;0.830000;
1.179725;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999549;0.830000;
1.180186;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999698;0.830000;
1.180647;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999801;0.830000;
1.181108;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999872;0.830000;
1.181569;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999920;0.830000;
1.182029;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999953;0.830000;
1.182490;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999975;0.830000;
1.183219;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999999;0.830000;
1.183220;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999999;0.830000;
1.183221;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999999;0.830000;
1.183223;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999999;0.830000;
1.183227;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999999;0.830000;
1.183235;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999999;0.830000;
1.183251;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.999999;0.830000;
1.183283;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000000;0.830000;
1.183347;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000001;0.830000;
1.183475;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000003;0.830000;
1.183731;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000006;0.830000;
1.184243;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000012;0.830000;
1.185267;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000018;0.830000;
1.186291;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000020;0.830000;
1.187315;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000021;0.830000;
1.188339;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000021;0.830000;
1.189363;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000021;0.830000;
1.190387;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000021;0.830000;
1.191411;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000021;0.830000;
1.192435;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000021;0.830000;
1.193459;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000021;0.830000;
1.194483;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000021;0.830000;
1.195507;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000020;0.830000;
1.196531;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000020;0.830000;
1.197555;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000020;0.830000;
1.198579;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000020;0.830000;
1.199603;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000020;0.830000;
1.200627;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000020;0.830000;
1.201651;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000020;0.830000;
1.202675;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000019;0.830000;
1.203699;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000019;0.830000;
1.204723;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000019;0.830000;
1.205747;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000019;0.830000;
1.206771;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000019;0.830000;
1.207795;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;1.000019;0.830000;
