time;WT4A_WT_pQCalculus_PWtPu;WT4A_WT_pQCalculus_QWtPu;WT4A_WT_control4A_UWTPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;
6.253930;0.653358;0.043923;1.083744;1.076947;0.121187;-0.603622;-0.027139;
6.253930;0.653354;0.043912;1.083742;1.076945;0.121186;-0.603619;-0.027149;
6.253930;0.653354;0.043912;1.083742;1.076945;0.121186;-0.603619;-0.027149;
6.253930;0.653354;0.043912;1.083742;1.076945;0.121186;-0.603619;-0.027149;
6.253930;0.653354;0.043912;1.083742;1.076945;0.121186;-0.603619;-0.027149;
6.254156;0.650972;0.037543;1.082171;1.075412;0.120764;-0.601656;-0.032653;
6.254607;0.646106;0.024696;1.078990;1.072308;0.119898;-0.597641;-0.043794;
6.255510;0.636181;-0.001052;1.072561;1.066037;0.118120;-0.589426;-0.066297;
6.257315;0.616684;-0.050638;1.059958;1.053744;0.114609;-0.573223;-0.110401;
6.259120;0.598461;-0.096637;1.047970;1.042039;0.111330;-0.558030;-0.152411;
6.259500;0.594967;-0.105419;1.045625;1.039748;0.110702;-0.555108;-0.160639;
6.259500;0.594883;-0.105567;1.045627;1.039753;0.110683;-0.555041;-0.160616;
6.259825;0.591829;-0.112974;1.043666;1.037839;0.110126;-0.552480;-0.167479;
6.260475;0.586186;-0.125675;1.040291;1.034558;0.109068;-0.547711;-0.179219;
6.261774;0.576408;-0.144871;1.035170;1.029610;0.107152;-0.539347;-0.196835;
6.263074;0.567912;-0.159446;1.031259;1.025856;0.105425;-0.532002;-0.210126;
6.264373;0.560456;-0.170632;1.028254;1.022995;0.103863;-0.525500;-0.220188;
6.266973;0.548586;-0.184867;1.024460;1.019443;0.101268;-0.515027;-0.232503;
6.269572;0.539153;-0.194031;1.022022;1.017201;0.099143;-0.506629;-0.240142;
6.272171;0.531567;-0.200061;1.020433;1.015774;0.097393;-0.499829;-0.244899;
6.277370;0.521269;-0.206193;1.018861;1.014427;0.094956;-0.490531;-0.249177;
6.282568;0.514325;-0.209407;1.018056;1.013773;0.093285;-0.484230;-0.251120;
6.287767;0.509641;-0.211145;1.017633;1.013452;0.092145;-0.479965;-0.251988;
6.298164;0.504860;-0.212450;1.017337;1.013261;0.090967;-0.475595;-0.252366;
6.308561;0.502444;-0.212946;1.017233;1.013211;0.090367;-0.473383;-0.252389;
6.318958;0.501230;-0.213117;1.017203;1.013208;0.090063;-0.472268;-0.252318;
6.339752;0.500418;-0.213125;1.017213;1.013237;0.089857;-0.471519;-0.252156;
6.360546;0.500148;-0.213046;1.017240;1.013270;0.089785;-0.471267;-0.252015;
6.402134;0.500040;-0.212846;1.017299;1.013332;0.089752;-0.471161;-0.251777;
6.485311;0.500015;-0.212474;1.017407;1.013442;0.089734;-0.471126;-0.251371;
6.651664;0.500010;-0.211888;1.017575;1.013612;0.089715;-0.471102;-0.250740;
6.984369;0.500006;-0.211151;1.017787;1.013827;0.089692;-0.471074;-0.249946;
7.649781;0.500003;-0.210495;1.017976;1.014018;0.089671;-0.471050;-0.249240;
8.980603;0.500001;-0.210132;1.018080;1.014124;0.089659;-0.471036;-0.248850;
11.642249;0.500000;-0.210020;1.018112;1.014157;0.089656;-0.471032;-0.248729;
11.999998;0.500000;-0.210019;1.018112;1.014157;0.089656;-0.471032;-0.248728;
11.999998;0.288617;-0.110578;0.580238;0.576068;0.069437;-0.471032;-0.248728;
12.000102;0.288459;-0.111838;0.579881;0.575711;0.069413;-0.470783;-0.251022;
12.000312;0.288228;-0.114045;0.579253;0.575082;0.069383;-0.470421;-0.255067;
12.000499;0.288163;-0.115519;0.578830;0.574656;0.069386;-0.470324;-0.257815;
12.000499;0.288164;-0.115521;0.578830;0.574656;0.069386;-0.470326;-0.257815;
12.000500;0.288163;-0.115536;0.578825;0.574651;0.069386;-0.470324;-0.257844;
12.000500;0.288163;-0.115536;0.578825;0.574651;0.069386;-0.470324;-0.257844;
12.000500;0.288163;-0.115536;0.578825;0.574651;0.069386;-0.470324;-0.257844;
12.000500;0.288163;-0.115536;0.578825;0.574651;0.069386;-0.470324;-0.257844;
12.000500;0.288163;-0.115536;0.578825;0.574651;0.069386;-0.470324;-0.257844;
12.000500;0.288163;-0.115536;0.578825;0.574651;0.069386;-0.470324;-0.257844;
12.000644;0.288066;-0.116746;0.578479;0.574304;0.069378;-0.470173;-0.260080;
12.000931;0.287922;-0.118686;0.577923;0.573745;0.069366;-0.469950;-0.263680;
12.001505;0.287812;-0.120938;0.577274;0.573091;0.069368;-0.469783;-0.267891;
12.002078;0.287855;-0.121810;0.577021;0.572833;0.069390;-0.469858;-0.269561;
12.003111;0.288381;-0.119773;0.577597;0.573401;0.069497;-0.470700;-0.265933;
12.003111;0.288381;-0.119774;0.577597;0.573401;0.069497;-0.470699;-0.265932;
12.003228;0.288444;-0.119515;0.577670;0.573473;0.069510;-0.470800;-0.265472;
12.003228;0.288444;-0.119515;0.577670;0.573473;0.069510;-0.470800;-0.265472;
12.003228;0.288444;-0.119515;0.577670;0.573473;0.069510;-0.470800;-0.265472;
12.003228;0.288444;-0.119515;0.577670;0.573473;0.069510;-0.470800;-0.265472;
12.003460;0.288602;-0.118732;0.577892;0.573693;0.069540;-0.471053;-0.264059;
12.003761;0.288899;-0.116980;0.578391;0.574189;0.069592;-0.471524;-0.260881;
12.003761;0.288898;-0.116981;0.578391;0.574189;0.069592;-0.471523;-0.260881;
12.003998;0.289143;-0.115517;0.578806;0.574602;0.069635;-0.471911;-0.258228;
12.004471;0.289758;-0.111603;0.579916;0.575707;0.069739;-0.472885;-0.251137;
12.005212;0.291017;-0.103237;0.582271;0.578054;0.069949;-0.474875;-0.236076;
12.005212;0.291013;-0.103248;0.582271;0.578054;0.069948;-0.474869;-0.236075;
12.005213;0.291014;-0.103237;0.582273;0.578057;0.069949;-0.474871;-0.236056;
12.005213;0.291014;-0.103237;0.582273;0.578057;0.069949;-0.474871;-0.236056;
12.005213;0.291014;-0.103237;0.582273;0.578057;0.069949;-0.474871;-0.236056;
12.005213;0.291014;-0.103237;0.582273;0.578057;0.069949;-0.474871;-0.236056;
12.005213;0.291014;-0.103237;0.582273;0.578057;0.069949;-0.474871;-0.236056;
12.005213;0.291014;-0.103237;0.582273;0.578057;0.069949;-0.474871;-0.236056;
12.005454;0.291443;-0.100390;0.583071;0.578852;0.070020;-0.475547;-0.230955;
12.005740;0.292022;-0.096462;0.584167;0.579944;0.070116;-0.476460;-0.223943;
12.005740;0.292021;-0.096467;0.584167;0.579944;0.070116;-0.476458;-0.223943;
12.005748;0.292038;-0.096352;0.584199;0.579976;0.070118;-0.476484;-0.223738;
12.005748;0.292038;-0.096352;0.584199;0.579976;0.070118;-0.476484;-0.223738;
12.005748;0.292038;-0.096349;0.584200;0.579977;0.070118;-0.476485;-0.223733;
12.005748;0.292038;-0.096349;0.584200;0.579977;0.070118;-0.476485;-0.223733;
12.005748;0.292038;-0.096349;0.584200;0.579977;0.070118;-0.476485;-0.223733;
12.005748;0.292038;-0.096349;0.584200;0.579977;0.070118;-0.476485;-0.223733;
12.005985;0.292528;-0.093034;0.585122;0.580896;0.070199;-0.477256;-0.217830;
12.006460;0.293615;-0.085575;0.587187;0.582954;0.070378;-0.478965;-0.204619;
12.007408;0.296146;-0.067989;0.591996;0.587748;0.070791;-0.482927;-0.173843;
