time;WT3A_WT_controlMeasurements_PPuSnRef;WT3A_WT_controlMeasurements_QPuSnRef;WT3A_WT_controlMeasurements_UPu;WT3A_WT_mechanical_omegaGenPu;WT3A_WT_mechanical_omegaWTRPu;PRefPu_step_step;WT3A_WT_terminal_V_re;WT3A_WT_terminal_V_im;WT3A_WT_terminal_i_re;WT3A_WT_terminal_i_im;
0.000698;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000702;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000706;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000709;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000713;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000717;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000720;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000724;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000728;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000732;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000735;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000739;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000743;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000746;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000750;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000754;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000757;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000761;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000765;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000768;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000772;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000776;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000779;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000783;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000787;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000790;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000794;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000798;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000801;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000805;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000809;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000812;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
