time;WTG4B_WTG4B_injector_PInjPu;WTG4B_WTG4B_injector_QInjPu;WTG4B_WTG4B_injector_terminal_V_re;WTG4B_WTG4B_injector_terminal_i_re;WTG4B_WTG4B_injector_terminal_V_im;WTG4B_WTG4B_injector_terminal_i_im;WTG4B_WTG4B_pll_omegaPLLPu;
2.002718;1.004840;1.052291;1.120586;-1.004840;0.150728;0.803895;0.978724;
2.002974;1.002633;1.049287;1.120303;-1.002633;0.150397;0.802010;0.983081;
2.003230;1.000556;1.045650;1.119939;-1.000556;0.150085;0.799580;0.986488;
2.003486;0.998564;1.041459;1.119504;-0.998564;0.149787;0.796681;0.989135;
2.003742;0.996619;1.036783;1.119008;-0.996619;0.149495;0.793375;0.991181;
2.003998;0.994693;1.031680;1.118459;-0.994693;0.149206;0.789717;0.992756;
2.004254;0.992762;1.026200;1.117864;-0.992762;0.148916;0.785750;0.993961;
2.004510;0.990811;1.020383;1.117228;-0.990811;0.148624;0.781510;0.994879;
2.005022;0.986800;1.007905;1.115855;-0.986800;0.148022;0.772356;0.996146;
2.005534;0.982615;0.994432;1.114363;-0.982615;0.147394;0.762409;0.996845;
2.006046;0.978238;0.980126;1.112772;-0.978238;0.146738;0.751800;0.997190;
2.006558;0.973666;0.965122;1.111097;-0.973666;0.146052;0.740634;0.997326;
2.007070;0.968909;0.949531;1.109351;-0.968909;0.145338;0.728995;0.997346;
2.008094;0.958938;0.917056;1.105698;-0.958938;0.143843;0.704641;0.997267;
2.009118;0.948467;0.883233;1.101868;-0.948467;0.142272;0.679112;0.997115;
2.010142;0.937652;0.848545;1.097914;-0.937652;0.140650;0.652751;0.996971;
2.010679;0.931900;0.830172;1.095808;-0.931900;0.139787;0.638711;0.996911;
2.010680;0.931889;0.830138;1.095804;-0.931889;0.139785;0.638685;0.996911;
2.010681;0.931878;0.830103;1.095800;-0.931878;0.139784;0.638659;0.996910;
2.010683;0.931856;0.830035;1.095792;-0.931856;0.139780;0.638606;0.996910;
2.010687;0.931813;0.829897;1.095776;-0.931813;0.139774;0.638500;0.996910;
2.010695;0.931727;0.829621;1.095745;-0.931727;0.139761;0.638289;0.996909;
2.010711;0.931554;0.829070;1.095681;-0.931554;0.139735;0.637868;0.996907;
2.010743;0.931208;0.827970;1.095555;-0.931208;0.139683;0.637025;0.996904;
2.010807;0.930516;0.825772;1.095303;-0.930516;0.139579;0.635341;0.996897;
2.010935;0.929134;0.821392;1.094799;-0.929134;0.139372;0.631985;0.996884;
2.011191;0.926372;0.812694;1.093798;-0.926372;0.138958;0.625314;0.996861;
2.011703;0.920867;0.795547;1.091822;-0.920867;0.138132;0.612138;0.996825;
2.011835;0.919459;0.791195;1.091320;-0.919459;0.137921;0.608789;0.996817;
2.011836;0.919448;0.791162;1.091316;-0.919448;0.137919;0.608763;0.996817;
2.011837;0.919437;0.791129;1.091312;-0.919437;0.137918;0.608738;0.996817;
2.011839;0.919416;0.791063;1.091304;-0.919416;0.137914;0.608687;0.996817;
2.011843;0.919373;0.790931;1.091289;-0.919373;0.137908;0.608585;0.996817;
2.011851;0.919287;0.790667;1.091259;-0.919287;0.137895;0.608382;0.996816;
2.011867;0.919116;0.790140;1.091198;-0.919116;0.137869;0.607976;0.996816;
2.011899;0.918775;0.789086;1.091076;-0.918775;0.137818;0.607164;0.996814;
2.011963;0.918094;0.786982;1.090833;-0.918094;0.137716;0.605543;0.996813;
2.012091;0.916740;0.782791;1.090348;-0.916740;0.137513;0.602310;0.996813;
2.012347;0.914070;0.774473;1.089383;-0.914070;0.137112;0.595881;0.996824;
