time;WT4A_WT_controlMeasurements_PPu;WT4A_WT_controlMeasurements_QPu;WT4A_WT_controlMeasurements_UPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;WT4A_WT_control4A_ipMaxPu;WT4A_WT_control4A_iqMaxPu;
6.268418;0.535188;-0.260995;1.002593;0.997575;0.100183;-0.505120;-0.312357;1.086935;0.330000;
6.269211;0.531751;-0.267904;1.000601;0.995640;0.099520;-0.502166;-0.319272;1.087953;0.330000;
6.270309;0.528249;-0.272494;0.999297;0.994404;0.098770;-0.499081;-0.323598;1.088933;0.330000;
6.270309;0.528246;-0.272492;0.999297;0.994404;0.098769;-0.499077;-0.323596;1.088933;0.330000;
6.270814;0.526645;-0.274576;0.998704;0.993842;0.098425;-0.497666;-0.325564;1.089383;0.330000;
6.271825;0.524075;-0.276277;0.998244;0.993439;0.097823;-0.495349;-0.326878;1.090142;0.330000;
6.273847;0.520760;-0.272943;0.999307;0.994600;0.096875;-0.492189;-0.322364;1.091645;0.330000;
6.275868;0.518665;-0.265505;1.001568;0.996946;0.096111;-0.490025;-0.313559;1.093401;0.330000;
6.276594;0.518173;-0.262111;1.002587;0.997992;0.095881;-0.489465;-0.309663;1.094155;0.330000;
6.276594;0.518173;-0.262108;1.002588;0.997993;0.095881;-0.489465;-0.309660;1.094155;0.330000;
6.277581;0.517462;-0.257569;1.003948;0.999390;0.095560;-0.488667;-0.304452;1.095152;0.330000;
6.279553;0.516466;-0.247835;1.006842;1.002349;0.095006;-0.487441;-0.293456;1.097454;0.330000;
6.279878;0.516330;-0.246303;1.007295;1.002813;0.094924;-0.487267;-0.291736;1.097870;0.330000;
6.279878;0.516333;-0.246302;1.007296;1.002813;0.094925;-0.487269;-0.291735;1.097870;0.330000;
6.281231;0.515761;-0.239803;1.009213;1.004772;0.094580;-0.486535;-0.284462;1.099588;0.330000;
6.283938;0.514652;-0.228994;1.012388;1.008017;0.093966;-0.485166;-0.272399;1.100000;0.330000;
6.286645;0.513407;-0.220969;1.014737;1.010429;0.093404;-0.483758;-0.263407;1.100000;0.330000;
6.292058;0.510592;-0.213927;1.016818;1.012604;0.092472;-0.480933;-0.255184;1.100000;0.330000;
6.297471;0.507868;-0.212169;1.017369;1.013225;0.091725;-0.478362;-0.252705;1.100000;0.330000;
6.302884;0.505576;-0.212697;1.017254;1.013161;0.091157;-0.476265;-0.252785;1.100000;0.330000;
6.313711;0.502874;-0.214354;1.016820;1.012783;0.090520;-0.473826;-0.253998;1.100000;0.330000;
6.324537;0.501452;-0.215098;1.016629;1.012621;0.090180;-0.472538;-0.254499;1.100000;0.330000;
6.346190;0.500504;-0.215153;1.016628;1.012642;0.089940;-0.471665;-0.254359;1.100000;0.330000;
6.367843;0.500187;-0.214971;1.016686;1.012707;0.089854;-0.471366;-0.254096;1.100000;0.330000;
6.411148;0.500056;-0.214629;1.016786;1.012812;0.089810;-0.471233;-0.253700;1.100000;0.330000;
6.497759;0.500023;-0.214039;1.016956;1.012985;0.089784;-0.471184;-0.253058;1.100000;0.330000;
6.670981;0.500015;-0.213100;1.017227;1.013259;0.089753;-0.471146;-0.252045;1.100000;0.330000;
7.017425;0.500010;-0.211894;1.017573;1.013611;0.089715;-0.471102;-0.250746;1.100000;0.330000;
7.710313;0.500004;-0.210811;1.017885;1.013926;0.089681;-0.471062;-0.249581;1.100000;0.330000;
8.403202;0.500002;-0.210340;1.018020;1.014063;0.089666;-0.471044;-0.249074;1.100000;0.330000;
9.788978;0.500001;-0.210088;1.018092;1.014137;0.089658;-0.471034;-0.248803;1.100000;0.330000;
11.174754;0.500000;-0.210022;1.018111;1.014156;0.089656;-0.471032;-0.248732;1.100000;0.330000;
11.999998;0.500000;-0.210017;1.018113;1.014158;0.089656;-0.471032;-0.248726;1.100000;0.330000;
11.999998;0.288617;-0.110576;0.580238;0.576069;0.069436;-0.471032;-0.248726;1.100000;0.330000;
11.999999;0.288617;-0.110577;0.580238;0.576068;0.069436;-0.471031;-0.248727;1.100000;0.330000;
12.000098;0.288585;-0.110630;0.580224;0.576055;0.069429;-0.470980;-0.248812;1.100000;0.330000;
12.000295;0.288586;-0.110592;0.580235;0.576066;0.069429;-0.470981;-0.248742;1.100000;0.330000;
12.000493;0.288649;-0.110417;0.580283;0.576113;0.069442;-0.471082;-0.248441;1.095973;0.330000;
12.000493;0.288649;-0.110416;0.580284;0.576113;0.069443;-0.471083;-0.248440;1.095947;0.330000;
12.000493;0.288650;-0.110416;0.580283;0.576113;0.069443;-0.471083;-0.248440;1.096165;0.330000;
12.000493;0.288650;-0.110416;0.580284;0.576113;0.069443;-0.471083;-0.248440;1.096161;0.330000;
12.000651;0.288711;-0.110188;0.580347;0.576176;0.069455;-0.471181;-0.248039;1.087545;0.330000;
12.000843;0.288798;-0.109807;0.580454;0.576282;0.069472;-0.471320;-0.247362;1.077253;0.330000;
12.001226;0.289024;-0.108621;0.580788;0.576613;0.069514;-0.471680;-0.245241;1.057445;0.330000;
12.001610;0.289300;-0.107046;0.581231;0.577053;0.069564;-0.472118;-0.242418;1.038391;0.330000;
12.002377;0.290027;-0.102586;0.582483;0.578299;0.069690;-0.473267;-0.234425;1.003117;0.330000;
12.002708;0.290406;-0.100197;0.583151;0.578964;0.069755;-0.473866;-0.230155;1.002920;0.608603;
12.002708;0.290404;-0.100197;0.583151;0.578965;0.069754;-0.473862;-0.230154;1.000000;0.549905;
12.002794;0.290499;-0.099606;0.583317;0.579129;0.069770;-0.474012;-0.229100;1.000000;0.624788;
12.002794;0.290498;-0.099606;0.583317;0.579129;0.069770;-0.474012;-0.229100;1.000000;0.624788;
12.003026;0.290761;-0.097967;0.583774;0.579584;0.069816;-0.474427;-0.226179;1.000000;0.825815;
12.003237;0.291024;-0.096312;0.584235;0.580043;0.069861;-0.474842;-0.223234;1.000000;0.905033;
12.003237;0.291023;-0.096313;0.584235;0.580043;0.069860;-0.474840;-0.223233;1.000000;0.949399;
12.003237;0.291023;-0.096312;0.584235;0.580043;0.069860;-0.474840;-0.223233;1.000000;0.949399;
12.003237;0.291023;-0.096312;0.584235;0.580043;0.069860;-0.474840;-0.223233;1.000000;1.000000;
12.003415;0.291294;-0.094476;0.584747;0.580553;0.069905;-0.475267;-0.219961;1.000000;1.000000;
12.003415;0.291294;-0.094476;0.584747;0.580553;0.069905;-0.475266;-0.219961;1.000000;1.000000;
12.003642;0.291666;-0.091928;0.585454;0.581259;0.069966;-0.475852;-0.215431;1.000000;1.000000;
12.004098;0.292519;-0.085973;0.587102;0.582902;0.070105;-0.477192;-0.204883;1.000000;1.000000;
12.005010;0.294578;-0.071373;0.591103;0.586891;0.070437;-0.480414;-0.179270;1.000000;1.000000;
12.005378;0.295526;-0.064662;0.592923;0.588706;0.070591;-0.481894;-0.167620;1.000000;1.000000;
12.005378;0.295519;-0.064663;0.592923;0.588706;0.070589;-0.481882;-0.167619;1.000000;1.000000;
12.005408;0.295594;-0.064131;0.593066;0.588849;0.070601;-0.482000;-0.166700;1.000000;1.000000;
12.005408;0.295594;-0.064131;0.593066;0.588849;0.070601;-0.481999;-0.166700;1.000000;1.000000;
12.005409;0.295595;-0.064122;0.593069;0.588851;0.070601;-0.482001;-0.166684;1.000000;1.000000;
12.005623;0.296134;-0.060318;0.594095;0.589874;0.070688;-0.482840;-0.160118;1.000000;1.000000;
12.006052;0.297269;-0.052276;0.596252;0.592025;0.070872;-0.484607;-0.146313;1.000000;1.000000;
12.006911;0.299709;-0.034963;0.600841;0.596599;0.071267;-0.488393;-0.116945;1.000000;1.000000;
12.008628;0.304866;0.001315;0.610230;0.605955;0.072108;-0.496346;-0.056894;1.000000;1.000000;
12.010158;0.309474;0.033076;0.618215;0.613906;0.072870;-0.503410;-0.005875;1.000000;1.000000;
12.010158;0.309453;0.033074;0.618215;0.613906;0.072864;-0.503376;-0.005871;1.000000;1.000000;
12.010377;0.310129;0.037759;0.619376;0.615062;0.072976;-0.504407;0.001544;1.000000;1.000000;
12.010814;0.311510;0.047374;0.621744;0.617420;0.073203;-0.506512;0.016676;1.000000;1.000000;
12.011535;0.313853;0.063771;0.625743;0.621401;0.073589;-0.510074;0.042221;1.000000;1.000000;
12.011535;0.313851;0.063771;0.625743;0.621401;0.073588;-0.510070;0.042221;1.000000;1.000000;
12.011541;0.313872;0.063919;0.625779;0.621436;0.073591;-0.510102;0.042449;1.000000;1.000000;
