time;WT4B_WT_controlMeasurements_PPu;WT4B_WT_controlMeasurements_QPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;WT4B_WT_gridProtection_fOCB;
2.160416;0.529485;-0.218992;1.015027;1.010340;0.097439;-0.498526;-0.264830;-1.000000;
2.160928;0.529226;-0.218991;1.015032;1.010351;0.097373;-0.498287;-0.264771;-1.000000;
2.161184;0.529097;-0.218991;1.015035;1.010357;0.097341;-0.498168;-0.264741;-1.000000;
2.161696;0.528842;-0.218990;1.015040;1.010368;0.097275;-0.497932;-0.264682;-1.000000;
2.162720;0.528339;-0.218987;1.015050;1.010390;0.097147;-0.497468;-0.264566;-1.000000;
2.163232;0.528091;-0.218986;1.015054;1.010401;0.097084;-0.497240;-0.264509;-1.000000;
2.163488;0.527968;-0.218985;1.015057;1.010406;0.097053;-0.497126;-0.264480;-1.000000;
2.164000;0.527724;-0.218984;1.015062;1.010417;0.096990;-0.496901;-0.264424;-1.000000;
2.165024;0.527243;-0.218981;1.015071;1.010438;0.096868;-0.496457;-0.264313;-1.000000;
2.165536;0.527006;-0.218980;1.015076;1.010449;0.096807;-0.496238;-0.264258;-1.000000;
2.166560;0.526539;-0.218977;1.015085;1.010469;0.096688;-0.495808;-0.264151;-1.000000;
2.167072;0.526309;-0.218976;1.015089;1.010480;0.096630;-0.495595;-0.264098;-1.000000;
2.167328;0.526195;-0.218975;1.015091;1.010485;0.096601;-0.495490;-0.264071;-1.000000;
2.167840;0.525968;-0.218974;1.015096;1.010495;0.096543;-0.495281;-0.264019;-1.000000;
2.168864;0.525521;-0.218971;1.015105;1.010514;0.096429;-0.494869;-0.263916;-1.000000;
2.169376;0.525301;-0.218970;1.015109;1.010524;0.096373;-0.494666;-0.263865;-1.000000;
2.170400;0.524868;-0.218967;1.015118;1.010543;0.096262;-0.494266;-0.263765;-1.000000;
2.170912;0.524654;-0.218965;1.015122;1.010553;0.096208;-0.494069;-0.263715;-1.000000;
2.171168;0.524548;-0.218964;1.015124;1.010557;0.096181;-0.493971;-0.263691;-1.000000;
2.171680;0.524337;-0.218963;1.015128;1.010567;0.096127;-0.493777;-0.263642;-1.000000;
2.172704;0.523922;-0.218960;1.015136;1.010585;0.096021;-0.493394;-0.263546;-1.000000;
2.173216;0.523718;-0.218958;1.015140;1.010594;0.095969;-0.493205;-0.263499;-1.000000;
2.173472;0.523616;-0.218957;1.015142;1.010598;0.095943;-0.493111;-0.263476;-1.000000;
2.173984;0.523415;-0.218956;1.015147;1.010607;0.095892;-0.492926;-0.263429;-1.000000;
2.175008;0.523018;-0.218953;1.015154;1.010625;0.095790;-0.492559;-0.263337;-1.000000;
2.175520;0.522822;-0.218951;1.015158;1.010634;0.095740;-0.492378;-0.263292;-1.000000;
2.175776;0.522725;-0.218950;1.015160;1.010638;0.095716;-0.492289;-0.263269;-1.000000;
2.176288;0.522532;-0.218949;1.015164;1.010646;0.095667;-0.492111;-0.263225;-1.000000;
2.177312;0.522151;-0.218945;1.015172;1.010663;0.095570;-0.491760;-0.263137;-1.000000;
2.177824;0.521964;-0.218943;1.015176;1.010672;0.095522;-0.491587;-0.263093;-1.000000;
2.178080;0.521871;-0.218943;1.015178;1.010676;0.095498;-0.491501;-0.263071;-1.000000;
2.178592;0.521686;-0.218941;1.015181;1.010684;0.095451;-0.491331;-0.263029;-1.000000;
2.179616;0.521322;-0.218937;1.015189;1.010700;0.095358;-0.490994;-0.262944;-1.000000;
