time;Load2_load_PPu;Load2_load_QPu;Bus1_bus_U;
21.6015625000;0.0404263138;0.0051070177;1.9867072133;
21.6210937500;0.0404264163;0.0051070397;1.9867122411;
21.6406250000;0.0404265161;0.0051070610;1.9867171385;
21.6601562500;0.0404266133;0.0051070815;1.9867218995;
21.6796875000;0.0404267076;0.0051071012;1.9867265204;
21.6992187500;0.0404267991;0.0051071200;1.9867309997;
21.7187500000;0.0404268877;0.0051071381;1.9867353372;
21.7382812500;0.0404269735;0.0051071553;1.9867395337;
21.7578125000;0.0404270565;0.0051071717;1.9867435910;
21.7773437500;0.0404271367;0.0051071872;1.9867475112;
21.7968750000;0.0404272142;0.0051072020;1.9867512971;
21.8164062500;0.0404272891;0.0051072160;1.9867549517;
21.8359375000;0.0404273615;0.0051072292;1.9867584782;
21.8554687500;0.0404274313;0.0051072417;1.9867618802;
21.8750000000;0.0404274987;0.0051072535;1.9867651612;
21.8945312500;0.0404275638;0.0051072645;1.9867683247;
21.9140625000;0.0404276265;0.0051072748;1.9867713746;
21.9335937500;0.0404276871;0.0051072844;1.9867743146;
21.9531250000;0.0404277456;0.0051072934;1.9867771483;
21.9726562500;0.0404278020;0.0051073017;1.9867798796;
21.9921875000;0.0404278564;0.0051073093;1.9867825122;
22.0117187500;0.0404279090;0.0051073164;1.9867850498;
22.0312500000;0.0404279597;0.0051073228;1.9867874961;
22.0507812500;0.0404280087;0.0051073287;1.9867898548;
22.0703125000;0.0404280560;0.0051073339;1.9867921294;
22.0898437500;0.0404281016;0.0051073386;1.9867943236;
22.1093750000;0.0404281458;0.0051073428;1.9867964409;
22.1289062500;0.0404281885;0.0051073465;1.9867984847;
22.1484375000;0.0404282298;0.0051073496;1.9868004586;
22.1679687500;0.0404282698;0.0051073522;1.9868023659;
22.1875000000;0.0404283085;0.0051073544;1.9868042099;
22.2070312500;0.0404283461;0.0051073561;1.9868059939;
22.2265625000;0.0404283825;0.0051073573;1.9868077213;
22.2460937500;0.0404284178;0.0051073581;1.9868093952;
22.2656250000;0.0404284522;0.0051073584;1.9868110187;
22.2851562500;0.0404284856;0.0051073584;1.9868125949;
22.3046875000;0.0404285181;0.0051073579;1.9868141269;
22.3242187500;0.0404285498;0.0051073570;1.9868156177;
22.3437500000;0.0404285808;0.0051073558;1.9868170702;
22.3632812500;0.0404286111;0.0051073541;1.9868184874;
22.3828125000;0.0404286407;0.0051073521;1.9868198721;
22.4023437500;0.0404286697;0.0051073498;1.9868212270;
22.4218750000;0.0404286982;0.0051073471;1.9868225550;
22.4414062500;0.0404287262;0.0051073441;1.9868238588;
22.4609375000;0.0404287537;0.0051073408;1.9868251411;
22.4804687500;0.0404287809;0.0051073372;1.9868264044;
22.5000000000;0.0404288078;0.0051073332;1.9868276515;
22.5195312500;0.0404288343;0.0051073290;1.9868288847;
22.5390625000;0.0404288607;0.0051073245;1.9868301067;
22.5585937500;0.0404288868;0.0051073197;1.9868313198;
22.5781250000;0.0404289128;0.0051073147;1.9868325266;
22.5976562500;0.0404289387;0.0051073094;1.9868337294;
22.6171875000;0.0404289646;0.0051073038;1.9868349305;
22.6367187500;0.0404289904;0.0051072980;1.9868361323;
22.6562500000;0.0404290163;0.0051072920;1.9868373371;
22.6757812500;0.0404290422;0.0051072857;1.9868385470;
22.6953125000;0.0404290683;0.0051072792;1.9868397644;
22.7148437500;0.0404290945;0.0051072725;1.9868409914;
22.7343750000;0.0404291209;0.0051072655;1.9868422302;
22.7539062500;0.0404291475;0.0051072584;1.9868434828;
22.7734375000;0.0404291744;0.0051072511;1.9868447514;
22.7929687500;0.0404292016;0.0051072436;1.9868460380;
22.8125000000;0.0404292292;0.0051072358;1.9868473447;
22.8320312500;0.0404292571;0.0051072279;1.9868486736;
22.8515625000;0.0404292854;0.0051072198;1.9868500265;
22.8710937500;0.0404293141;0.0051072116;1.9868514055;
22.8906250000;0.0404293434;0.0051072032;1.9868528125;
22.9101562500;0.0404293731;0.0051071946;1.9868542495;
22.9296875000;0.0404294034;0.0051071858;1.9868557183;
22.9492187500;0.0404294342;0.0051071769;1.9868572209;
22.9687500000;0.0404294656;0.0051071678;1.9868587591;
22.9882812500;0.0404294977;0.0051071586;1.9868603347;
23.0078125000;0.0404295304;0.0051071492;1.9868619497;
23.0273437500;0.0404295637;0.0051071397;1.9868636059;
23.0468750000;0.0404295978;0.0051071300;1.9868653051;
23.0664062500;0.0404296327;0.0051071202;1.9868670490;
23.0859375000;0.0404296682;0.0051071103;1.9868688395;
23.1054687500;0.0404297046;0.0051071002;1.9868706785;
23.1250000000;0.0404297418;0.0051070900;1.9868725675;
23.1445312500;0.0404297798;0.0051070796;1.9868745085;
23.1640625000;0.0404298187;0.0051070691;1.9868765032;
23.1835937500;0.0404298585;0.0051070585;1.9868785534;
23.2031250000;0.0404298992;0.0051070478;1.9868806608;
23.2226562500;0.0404299408;0.0051070369;1.9868828272;
23.2421875000;0.0404299833;0.0051070259;1.9868850543;
23.2617187500;0.0404300269;0.0051070148;1.9868873439;
23.2812500000;0.0404300714;0.0051070036;1.9868896979;
23.3007812500;0.0404301170;0.0051069923;1.9868921178;
23.3203125000;0.0404301635;0.0051069808;1.9868946055;
23.3398437500;0.0404302112;0.0051069692;1.9868971628;
