time;WT4B_WT_measurements_PGenNomPu;WT4B_WT_measurements_QGenNomPu;WT4B_WT_measurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
12.006737;0.283986;-0.026757;0.567460;0.563269;0.068840;-0.491034;-0.107514;
12.006737;0.283985;-0.026757;0.567460;0.563269;0.068840;-0.491034;-0.107514;
12.006737;0.283987;-0.026747;0.567462;0.563271;0.068840;-0.491036;-0.107497;
12.006737;0.283987;-0.026747;0.567462;0.563271;0.068840;-0.491036;-0.107497;
12.006959;0.284630;-0.022086;0.568679;0.564484;0.068949;-0.492111;-0.099235;
12.007404;0.285957;-0.012484;0.571168;0.566964;0.069174;-0.494320;-0.082330;
12.008294;0.288702;0.007351;0.576242;0.572019;0.069640;-0.498878;-0.047885;
12.009682;0.292976;0.037776;0.583853;0.579597;0.070372;-0.505938;0.003749;
12.009682;0.292963;0.037775;0.583853;0.579597;0.070368;-0.505915;0.003752;
12.009905;0.293672;0.042853;0.585104;0.580842;0.070489;-0.507082;0.012239;
12.010350;0.295127;0.053303;0.587662;0.583389;0.070738;-0.509471;0.029592;
12.011242;0.298133;0.075030;0.592913;0.588616;0.071250;-0.514390;0.065204;
12.013026;0.304265;0.119624;0.603414;0.599068;0.072293;-0.524359;0.136406;
12.014809;0.310366;0.164041;0.613534;0.609136;0.073332;-0.534196;0.204991;
12.016593;0.316257;0.206944;0.623018;0.618567;0.074337;-0.543628;0.269222;
12.018376;0.321826;0.247329;0.631704;0.627201;0.075291;-0.552491;0.328016;
12.020160;0.327001;0.284505;0.639507;0.634953;0.076182;-0.560689;0.380800;
12.021943;0.331746;0.318045;0.646399;0.641796;0.077006;-0.568182;0.427381;
12.023727;0.336051;0.347752;0.652393;0.647742;0.077763;-0.574969;0.467842;
12.027294;0.343004;0.392419;0.661214;0.656475;0.079024;-0.585961;0.527231;
12.030504;0.348184;0.422324;0.666995;0.662180;0.080002;-0.594196;0.565990;
12.033714;0.352454;0.443556;0.671037;0.666149;0.080846;-0.601050;0.592905;
12.036925;0.356012;0.457885;0.673729;0.668770;0.081588;-0.606834;0.610635;
12.040135;0.359035;0.466955;0.675410;0.670382;0.082253;-0.611821;0.621482;
12.043345;0.361670;0.472175;0.676359;0.671263;0.082864;-0.616232;0.627343;
