time;WT4B_WT_controlMeasurements_PPu;WT4B_WT_controlMeasurements_QPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
12.001345;0.290574;-0.142455;0.570894;0.566543;0.070352;-0.474350;-0.310349;
12.002035;0.291240;-0.137868;0.572234;0.567880;0.070461;-0.475413;-0.301765;
12.002709;0.292075;-0.132107;0.573908;0.569549;0.070597;-0.476742;-0.291044;
12.002709;0.292076;-0.132107;0.573908;0.569549;0.070597;-0.476744;-0.291044;
12.002710;0.292077;-0.132102;0.573910;0.569551;0.070597;-0.476745;-0.291034;
12.002721;0.292091;-0.132003;0.573938;0.569580;0.070600;-0.476768;-0.290851;
12.002762;0.292146;-0.131629;0.574046;0.569687;0.070609;-0.476855;-0.290158;
12.002977;0.292454;-0.129497;0.574663;0.570303;0.070659;-0.477344;-0.286209;
12.003266;0.292955;-0.125968;0.575681;0.571318;0.070740;-0.478140;-0.279690;
12.003266;0.292954;-0.125968;0.575681;0.571318;0.070739;-0.478138;-0.279689;
12.003476;0.293331;-0.123314;0.576443;0.572079;0.070800;-0.478736;-0.274802;
12.003897;0.294201;-0.117141;0.578209;0.573841;0.070940;-0.480115;-0.263488;
12.004739;0.296335;-0.101899;0.582520;0.578143;0.071282;-0.483483;-0.235864;
12.005582;0.298818;-0.084174;0.587451;0.583061;0.071680;-0.487384;-0.204283;
12.005649;0.299052;-0.082521;0.587906;0.583515;0.071718;-0.487751;-0.201369;
12.005649;0.299048;-0.082521;0.587906;0.583515;0.071717;-0.487745;-0.201368;
12.005663;0.299090;-0.082224;0.587988;0.583597;0.071724;-0.487810;-0.200844;
12.005663;0.299090;-0.082222;0.587988;0.583597;0.071724;-0.487811;-0.200840;
12.005852;0.299676;-0.078053;0.589133;0.584739;0.071818;-0.488728;-0.193509;
12.006230;0.300906;-0.069289;0.591524;0.587124;0.072016;-0.490651;-0.178197;
12.006987;0.303557;-0.050366;0.596620;0.592205;0.072443;-0.494780;-0.145573;
12.008500;0.309340;-0.008982;0.607462;0.603014;0.073376;-0.503720;-0.076188;
12.009057;0.311579;0.006920;0.611524;0.607062;0.073740;-0.507159;-0.050205;
12.009057;0.311558;0.006918;0.611524;0.607062;0.073734;-0.507125;-0.050200;
12.009071;0.311612;0.007303;0.611622;0.607160;0.073743;-0.507208;-0.049575;
12.009071;0.311612;0.007304;0.611622;0.607160;0.073743;-0.507208;-0.049574;
12.009236;0.312270;0.012022;0.612816;0.608350;0.073849;-0.508217;-0.041933;
12.009566;0.313601;0.021570;0.615220;0.610745;0.074065;-0.510252;-0.026560;
12.010225;0.316299;0.040976;0.620048;0.615556;0.074501;-0.514366;0.004314;
12.011545;0.321721;0.080078;0.629555;0.625027;0.075377;-0.522582;0.065097;
12.012864;0.327102;0.118964;0.638739;0.634172;0.076249;-0.530677;0.123784;
12.014183;0.332347;0.156947;0.647471;0.642864;0.077099;-0.538513;0.179553;
12.015503;0.337388;0.193468;0.655659;0.651012;0.077918;-0.545999;0.231831;
12.016822;0.342177;0.228087;0.663246;0.658560;0.078699;-0.553074;0.280249;
12.019460;0.350529;0.287499;0.675899;0.671139;0.080075;-0.565352;0.360922;
12.021835;0.357114;0.333068;0.685313;0.680488;0.081179;-0.574998;0.420859;
12.024210;0.362782;0.370679;0.692906;0.688019;0.082150;-0.583297;0.469117;
12.026585;0.367613;0.400845;0.698884;0.693938;0.083003;-0.590394;0.507021;
12.028959;0.371713;0.424350;0.703474;0.698470;0.083753;-0.596455;0.536021;
12.031334;0.375186;0.441918;0.706863;0.701804;0.084417;-0.601640;0.557320;
12.033709;0.378150;0.454787;0.709320;0.704208;0.085011;-0.606116;0.572645;
12.036084;0.380713;0.463829;0.711030;0.705864;0.085550;-0.610037;0.583172;
12.038458;0.382963;0.469844;0.712154;0.706936;0.086046;-0.613529;0.589944;
12.040833;0.384975;0.473529;0.712830;0.707561;0.086511;-0.616694;0.593840;
12.043208;0.386809;0.475468;0.713172;0.707851;0.086953;-0.619618;0.595592;
12.047957;0.390096;0.475529;0.713127;0.707703;0.087787;-0.624948;0.594411;
12.052707;0.393205;0.473696;0.712719;0.707191;0.088598;-0.630038;0.590895;
12.057456;0.396247;0.471147;0.712174;0.706540;0.089401;-0.635038;0.586483;
12.062206;0.399285;0.468507;0.711609;0.705869;0.090205;-0.640033;0.581939;
12.071705;0.405473;0.464130;0.710648;0.704690;0.091829;-0.650178;0.573904;
12.081204;0.411754;0.460656;0.709855;0.703675;0.093466;-0.660450;0.566918;
12.100202;0.424479;0.455381;0.708577;0.701939;0.096761;-0.681208;0.554843;
12.119200;0.437221;0.450735;0.707405;0.700293;0.100053;-0.701970;0.543346;
12.149998;0.457820;0.443707;0.705573;0.697656;0.105369;-0.735505;0.524912;
12.149998;0.827683;0.752719;1.238039;1.229412;0.145900;-0.735535;0.524970;
12.150088;0.827598;0.752674;1.238031;1.229407;0.145879;-0.735459;0.524957;
12.150267;0.827287;0.751666;1.237837;1.229218;0.145827;-0.735216;0.524278;
12.150627;0.826145;0.746247;1.236785;1.228175;0.145682;-0.734400;0.520494;
12.150987;0.824531;0.737690;1.235116;1.226516;0.145500;-0.733285;0.514463;
12.151043;0.824209;0.735887;1.234763;1.226165;0.145467;-0.733067;0.513186;
12.151043;0.824211;0.735887;1.234763;1.226165;0.145467;-0.733068;0.513185;
12.151126;0.823731;0.733530;1.234303;1.225708;0.145408;-0.732728;0.511530;
12.151126;0.823730;0.733530;1.234303;1.225708;0.145408;-0.732728;0.511530;
12.151271;0.822797;0.729125;1.233443;1.224856;0.145288;-0.732060;0.508439;
12.151562;0.820336;0.718494;1.231367;1.222806;0.144947;-0.730252;0.501017;
12.152142;0.813395;0.690983;1.225974;1.217497;0.143919;-0.725046;0.481837;
12.152723;0.804811;0.658280;1.219512;1.211145;0.142614;-0.718541;0.458909;
12.153627;0.787923;0.596032;1.207049;1.198903;0.139999;-0.705635;0.414749;
12.153627;0.787897;0.596033;1.207050;1.198904;0.139992;-0.705610;0.414756;
12.153784;0.785069;0.585712;1.204961;1.196853;0.139552;-0.703442;0.407356;
12.153889;0.783117;0.578733;1.203546;1.195464;0.139244;-0.701938;0.402348;
12.153889;0.783114;0.578733;1.203546;1.195464;0.139244;-0.701936;0.402348;
12.153890;0.783097;0.578670;1.203533;1.195451;0.139241;-0.701922;0.402303;
12.153890;0.783096;0.578670;1.203533;1.195451;0.139241;-0.701922;0.402303;
12.154050;0.780153;0.568133;1.201390;1.193348;0.138778;-0.699655;0.394719;
12.154370;0.774120;0.546972;1.197067;1.189107;0.137818;-0.694987;0.379436;
12.154955;0.762700;0.508195;1.189076;1.181276;0.135969;-0.686086;0.351238;
12.154955;0.762697;0.508196;1.189076;1.181277;0.135968;-0.686083;0.351239;
12.154955;0.762696;0.508195;1.189076;1.181277;0.135968;-0.686083;0.351238;
