time;GfmEPRI_gfm_epriVoltageControl_PPu;GfmEPRI_gfm_epriVoltageControl_QPu;GfmEPRI_gfm_injectorURI_terminal_V_re;GfmEPRI_gfm_injectorURI_terminal_i_re;GfmEPRI_gfm_injectorURI_terminal_V_im;GfmEPRI_gfm_injectorURI_terminal_i_im;GfmEPRI_gfm_pll_omegaPLLPu;
6.210208;-2.266531;0.700146;-0.757004;-0.315763;-0.725278;-2.793843;0.356963;
6.210313;-2.274914;0.714460;-0.754310;-0.284977;-0.738728;-2.786920;0.761529;
6.210418;-2.282856;0.728765;-0.751412;-0.254259;-0.752153;-2.779532;0.977491;
6.210522;-2.290354;0.743056;-0.748311;-0.223619;-0.765550;-2.771679;1.089079;
6.210732;-2.304007;0.771585;-0.741504;-0.162609;-0.792239;-2.754585;1.198818;
6.210941;-2.315445;0.799364;-0.733706;-0.102128;-0.818722;-2.735221;1.196248;
6.211360;-2.331603;0.853075;-0.715229;0.016717;-0.870835;-2.689918;1.197274;
6.212197;-2.337893;0.951993;-0.667816;0.243077;-0.970379;-2.575510;1.201658;
6.213035;-2.314851;1.045676;-0.609329;0.453899;-1.063426;-2.435988;1.202309;
6.213872;-2.262909;1.133108;-0.540901;0.645137;-1.148190;-2.274050;1.202114;
6.215547;-2.088128;1.290516;-0.382637;0.966497;-1.291646;-1.902350;1.199836;
6.217222;-1.823027;1.413508;-0.201740;1.188981;-1.392637;-1.480894;1.193145;
6.218897;-1.491135;1.479877;-0.011696;1.303109;-1.446725;-1.040936;1.185888;
6.220572;-1.122812;1.485314;0.172996;1.311075;-1.454524;-0.615783;1.174230;
6.222247;-0.750089;1.427822;0.339362;1.225442;-1.421191;-0.234993;1.158816;
6.223922;-0.401750;1.310082;0.477557;1.065686;-1.354966;0.079236;1.140804;
6.225597;-0.100086;1.138898;0.581571;0.854250;-1.265466;0.313605;1.120878;
6.227271;0.140491;0.924419;0.649109;0.612965;-1.162129;0.463343;1.099470;
6.228946;0.313175;0.679328;0.680903;0.360600;-1.053137;0.530577;1.076852;
6.230621;0.417434;0.417970;0.679811;0.111767;-0.944908;0.522224;1.053123;
6.232296;0.457240;0.155403;0.649965;-0.123036;-0.842105;0.448040;1.028151;
6.233971;0.439368;-0.093629;0.596124;-0.336662;-0.747947;0.319140;1.001539;
6.235646;0.372035;-0.315796;0.523245;-0.524303;-0.664642;0.147046;0.972714;
6.237321;0.263957;-0.500245;0.436252;-0.682559;-0.593784;-0.056835;0.941209;
6.237977;0.212897;-0.560158;0.399645;-0.735804;-0.569772;-0.142314;0.928203;
6.237977;0.212930;-0.560373;0.399657;-0.735842;-0.569755;-0.142289;1.011114;
6.238026;0.208803;-0.564640;0.396801;-0.739654;-0.568031;-0.148949;1.010877;
6.238075;0.204651;-0.568865;0.393940;-0.743437;-0.566319;-0.155622;1.010877;
6.238173;0.196290;-0.577193;0.388202;-0.750931;-0.562925;-0.169000;1.010891;
6.238370;0.179288;-0.593340;0.376659;-0.765575;-0.556286;-0.195904;1.010877;
6.238763;0.144223;-0.623581;0.353332;-0.793464;-0.543612;-0.250232;1.010877;
6.239550;0.070249;-0.675724;0.305951;-0.843489;-0.520747;-0.360427;1.010877;
6.241122;-0.089528;-0.746685;0.210191;-0.919889;-0.485277;-0.582560;1.010877;
6.242695;-0.260456;-0.774696;0.115630;-0.963848;-0.463942;-0.801170;1.010877;
6.244267;-0.436182;-0.764484;0.025701;-0.974527;-0.457188;-1.008343;1.010877;
6.245840;-0.609973;-0.723329;-0.056120;-0.951908;-0.465104;-1.196078;1.010877;
6.247413;-0.774635;-0.658995;-0.126415;-0.897252;-0.487221;-1.356539;1.010877;
6.248985;-0.922649;-0.580063;-0.181941;-0.813337;-0.522407;-1.482332;1.010877;
