time;WECCPV_photovoltaics_injector_PInjPu;WECCPV_photovoltaics_injector_QInjPu;WECCPV_photovoltaics_injector_terminal_V_re;WECCPV_photovoltaics_injector_terminal_i_re;WECCPV_photovoltaics_injector_terminal_V_im;WECCPV_photovoltaics_injector_terminal_i_im;WECCPV_photovoltaics_pll_omegaPLLPu;
1.0423689123;0.3935684118;0.5220733179;0.6061896177;-0.7871368235;0.1180721498;0.7079210340;0.9999998783;
1.0423789123;0.3935202000;0.5221516501;0.6062109053;-0.7870403999;0.1180576861;0.7080629494;0.9999998783;
1.0423889123;0.3934721141;0.5222301334;0.6062322104;-0.7869442282;0.1180432601;0.7082049812;0.9999998783;
1.0424089123;0.3933759278;0.5223870323;0.6062748021;-0.7867518556;0.1180144038;0.7084889221;0.9999998782;
1.0424489123;0.3931834273;0.5227003865;0.6063598826;-0.7863668547;0.1179566529;0.7090561177;0.9999998781;
1.0425289123;0.3927980315;0.5233254814;0.6065296544;-0.7855960631;0.1178410326;0.7101879142;0.9999998780;
1.0426889123;0.3920255929;0.5245690744;0.6068676198;-0.7840511857;0.1176092978;0.7124409854;0.9999998776;
1.0430089123;0.3904741984;0.5270300971;0.6075372938;-0.7809483968;0.1171438730;0.7169054175;0.9999998769;
1.0436489123;0.3873459099;0.5318493436;0.6088520747;-0.7746918199;0.1162053736;0.7256705029;0.9999998754;
1.0449289123;0.3809917645;0.5410915558;0.6113870034;-0.7619835289;0.1142991037;0.7425697945;0.9999998726;
1.0474889123;0.3679257844;0.5581026669;0.6161051393;-0.7358515688;0.1103792557;0.7740236008;0.9999998674;
1.0500489123;0.3544309184;0.5732718929;0.6203859367;-0.7088618368;0.1063307401;0.8025618567;0.9999998627;
1.0526089123;0.3405614620;0.5867739508;0.6242707944;-0.6811229240;0.1021698459;0.8284605516;0.9999998587;
1.0551689123;0.3263650206;0.5987784899;0.6277981937;-0.6527300411;0.0979108548;0.8519762226;0.9999998551;
1.0577289123;0.3118843924;0.6094432904;0.6310026809;-0.6237687847;0.0935666065;0.8733391768;0.9999998521;
1.0602889123;0.2971566274;0.6189122011;0.6339149704;-0.5943132548;0.0891482161;0.8927541722;0.9999998494;
1.0628489123;0.2822138854;0.6273150853;0.6365622078;-0.5644277709;0.0846653318;0.9104021786;0.9999998471;
1.0679689123;0.2517971251;0.6415145093;0.6411804997;-0.5035942501;0.0755401780;0.9411903673;0.9999998432;
1.0725769123;0.2239306722;0.6516646622;0.6446363849;-0.4478613443;0.0671801270;0.9642292846;0.9999998406;
1.0738261291;0.2163148533;0.6540745566;0.6454758254;-0.4326297066;0.0648953498;0.9698254773;0.9999998400;
1.0738261291;0.2163113226;0.6540743505;0.6454759601;-0.4326226452;0.0648942906;0.9698263754;0.9999998400;
1.0738361291;0.2162502407;0.6540924088;0.6454823913;-0.4325004814;0.0648759658;0.9698692495;0.9999998400;
1.0738461291;0.2161891088;0.6541105540;0.6454888404;-0.4323782176;0.0648576260;0.9699122433;0.9999998399;
1.0738661291;0.2160668370;0.6541468178;0.6455017313;-0.4321336739;0.0648209439;0.9699981810;0.9999998399;
1.0739061291;0.2158222798;0.6542191636;0.6455274676;-0.4316445596;0.0647475758;0.9701697545;0.9999998399;
1.0739861291;0.2153330705;0.6543632154;0.6455787779;-0.4306661410;0.0646008110;0.9705118181;0.9999998399;
