time;Generator_generator_cePu;Generator_generator_PePu;Generator_generator_cmPu;Generator_generator_PmPu;Generator_generator_ufPu;Generator_generator_efdPu;Generator_generator_omegaPu;Generator_generator_theta;Generator_generator_PGenPu;Generator_generator_QGenPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_UPu;Generator_generator_IStatorPu;Generator_generator_IRotorPu;Generator_generator_UStatorPu;Generator_generator_QStatorPu;Generator_generator_thetaInternal;Generator_voltageRegulator_VrefPu;Generator_voltageRegulator_VsPu;Generator_voltageRegulator_VcPu;Generator_governor_RefLPu;Generator_governor_omegaPu;Generator_governor_PmPu;Load_LoadPQ_terminal_i_re;Load_LoadPQ_terminal_i_im;
2.72352;0.792286;0.793265;0.787032;0.788004;0.00131047;1.88845;1.00123;2.03597;3.76801;3.89787e-20;376.801;3.89787e-18;0.995781;3.78397;1.87637;0.995781;3.94335e-20;0.963583;1.00942;0;0.995781;0.04;1.00123;0.788004;1.80883;3.32363;
2.93571;0.792887;0.793754;0.787355;0.788215;0.00130925;1.88669;1.00109;2.11331;3.77033;2.22042e-16;377.033;2.22042e-14;0.996089;3.78514;1.87693;0.996089;2.22042e-16;0.963389;1.00942;0;0.996089;0.04;1.00109;0.788215;1.54646;3.45481;
3.14789;0.793395;0.794147;0.787827;0.788573;0.00130817;1.88514;1.00095;2.18121;3.77251;8.95305e-17;377.251;8.95305e-15;0.99638;3.78624;1.87738;0.99638;8.95317e-17;0.963253;1.00942;0;0.99638;0.04;1.00095;0.788573;1.30828;3.55269;
3.57227;0.794405;0.794931;0.789057;0.789581;0.00130912;1.8865;1.00066;2.28856;3.77592;-1.74926e-20;377.592;-1.74926e-18;0.996827;3.78794;1.87844;0.996827;-1.82638e-20;0.963012;1.00942;0;0.996827;0.04;1.00066;0.789581;0.919713;3.67459;
3.93574;0.795192;0.795538;0.790323;0.790667;0.00130875;1.88597;1.00043;2.35151;3.77881;1.09617e-16;377.881;1.09617e-14;0.997208;3.78939;1.87923;0.997208;1.09585e-16;0.962873;1.00942;0;0.997208;0.04;1.00043;0.790667;0.686456;3.72669;
4.26286;0.795817;0.796015;0.791533;0.791731;0.00130828;1.8853;1.00025;2.38708;3.78107;1.17127e-18;378.107;1.17127e-16;0.997507;3.79053;1.87985;0.997507;1.17187e-18;0.962802;1.00942;0;0.997507;0.04;1.00025;0.791731;0.553393;3.7499;
4.58997;0.796367;0.796437;0.792738;0.792809;0.00130796;1.88483;1.00009;2.40495;3.78307;4.21706e-18;378.307;4.21706e-16;0.997772;3.79153;1.88039;0.997772;4.3063e-18;0.962771;1.00942;0;0.997772;0.04;1.00009;0.792809;0.486262;3.76003;
4.91709;0.796852;0.796815;0.793888;0.793852;0.00130777;1.88456;0.999954;2.40773;3.78487;-4.64258e-17;378.487;-4.64258e-15;0.998007;3.79243;1.88089;0.998007;-4.63801e-17;0.962771;1.00942;0;0.998007;0.04;0.999954;0.793852;0.475947;3.76236;
5.24421;0.797276;0.797153;0.79495;0.794828;0.00130755;1.88425;0.999846;2.39807;3.78649;9.63516e-17;378.649;9.63516e-15;0.998219;3.79323;1.88132;0.998219;9.62215e-17;0.962794;1.00942;0;0.998219;0.04;0.999846;0.794828;0.512495;3.75845;
5.57133;0.797644;0.797455;0.795904;0.795715;0.00130736;1.88397;0.999763;2.37854;3.78793;-1.23977e-17;378.793;-1.23977e-15;0.998408;3.79395;1.88171;0.998408;-1.20807e-17;0.962835;1.00942;0;0.998408;0.04;0.999763;0.795715;0.586071;3.74844;
