time;NETWORK__KANA___1_TN_Upu_value;NETWORK__TURN___2_TN_Upu_value;NETWORK__LOGA___3_TN_Upu_value;NETWORK__BEAV___6_TN_Upu_value;NETWORK__CLIN___8_TN_Upu_value;NETWORK__SALT___9_TN_Upu_value;NETWORK__GLEN__12_TN_Upu_value;GEN____1_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____9_SM_generator_PGen;GEN___12_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____9_SM_generator_QGen;GEN___12_SM_generator_QGen;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____9_SM_generator_omegaPu;GEN___12_SM_generator_omegaPu;GEN____1_SM_generator_UStatorPu;GEN____2_SM_generator_UStatorPu;GEN____3_SM_generator_UStatorPu;GEN____6_SM_generator_UStatorPu;GEN____8_SM_generator_UStatorPu;GEN____9_SM_generator_UStatorPu;GEN___12_SM_generator_UStatorPu;
0.696350;1.039998;1.009995;0.984950;0.979981;1.004954;0.979989;1.015040;478.657458;0.033206;40.060369;-0.020376;449.965721;-0.030448;310.020621;128.861105;-0.723506;-1.049325;0.933805;62.001255;2.333761;128.765637;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009952;0.984868;0.980066;1.010725;0.980133;1.022614;
0.729118;1.039998;1.009995;0.984950;0.979981;1.004954;0.979989;1.015040;478.660720;0.036118;40.060394;-0.019694;449.961669;-0.031287;310.019281;128.860688;-0.723639;-1.049773;0.934492;62.000610;2.334395;128.767300;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009952;0.984868;0.980066;1.010725;0.980133;1.022615;
0.794654;1.039998;1.009995;0.984950;0.979981;1.004953;0.979989;1.015041;478.669035;0.040717;40.056204;-0.015614;449.950941;-0.029192;310.016328;128.859650;-0.723853;-1.049695;0.935078;61.999943;2.334901;128.770041;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;0.999999;1.047589;1.009952;0.984867;0.980067;1.010724;0.980134;1.022616;
0.925726;1.039998;1.009995;0.984949;0.979983;1.004954;0.979991;1.015042;478.687309;0.045075;40.038423;-0.002372;449.926744;-0.015905;310.011184;128.857428;-0.723957;-1.047618;0.934583;61.999221;2.334072;128.773918;1.000000;0.999999;0.999999;1.000000;0.999999;0.999999;0.999999;1.047589;1.009952;0.984867;0.980068;1.010725;0.980135;1.022617;
1.000000;1.039998;1.009995;0.984949;0.979984;1.004954;0.979991;1.015043;478.694900;0.045469;40.028877;0.004163;449.916559;-0.007988;310.009359;128.856470;-0.723914;-1.046482;0.934209;61.998463;2.333411;128.775513;1.000000;0.999999;0.999999;1.000000;0.999999;1.000000;0.999999;1.047590;1.009952;0.984867;0.980069;1.010725;0.980136;1.022618;
1.000000;1.023429;1.002954;0.976608;0.977370;0.998405;0.961762;0.906551;528.382221;31.083216;75.984777;13.616542;475.950109;80.018762;0.000000;181.745444;24.601860;25.106847;7.929303;79.165698;64.530545;0.000000;1.000000;0.999999;0.999999;1.000000;0.999999;1.000000;0.999999;1.034255;1.004443;0.978752;0.978095;1.005723;0.965842;0.000000;
1.000001;1.023429;1.002954;0.976608;0.977370;0.998405;0.961762;0.906551;528.382139;31.083237;75.984807;13.616564;475.950152;80.018625;0.000000;181.745354;24.601908;25.106863;7.929334;79.165727;64.530488;0.000000;0.999999;0.999999;0.999999;1.000000;0.999999;0.999999;0.999999;1.034255;1.004442;0.978752;0.978095;1.005723;0.965842;0.000000;
1.000002;1.023429;1.002954;0.976608;0.977370;0.998405;0.961762;0.906551;528.382056;31.083257;75.984837;13.616586;475.950195;80.018488;0.000000;181.745263;24.601956;25.106879;7.929366;79.165755;64.530430;0.000000;0.999999;0.999999;0.999999;1.000000;0.999999;0.999999;0.999999;1.034255;1.004442;0.978752;0.978095;1.005723;0.965841;0.000000;
1.000004;1.023429;1.002954;0.976608;0.977370;0.998405;0.961762;0.906550;528.381890;31.083298;75.984897;13.616631;475.950281;80.018214;0.000000;181.745081;24.602052;25.106911;7.929429;79.165811;64.530314;0.000000;0.999999;0.999999;0.999999;1.000000;0.999999;0.999999;0.999999;1.034255;1.004442;0.978752;0.978095;1.005723;0.965841;0.000000;
1.000008;1.023429;1.002954;0.976608;0.977370;0.998405;0.961761;0.906550;528.381560;31.083381;75.985017;13.616721;475.950453;80.017666;0.000000;181.744718;24.602244;25.106975;7.929555;79.165924;64.530083;0.000000;0.999999;0.999999;0.999999;1.000000;0.999999;0.999999;0.999999;1.034254;1.004442;0.978752;0.978095;1.005723;0.965841;0.000000;
1.000016;1.023428;1.002953;0.976607;0.977370;0.998404;0.961761;0.906550;528.380898;31.083545;75.985257;13.616900;475.950797;80.016570;0.000000;181.743993;24.602628;25.107103;7.929808;79.166151;64.529621;0.000000;0.999999;0.999999;0.999999;1.000000;0.999999;0.999999;0.999999;1.034254;1.004442;0.978751;0.978095;1.005723;0.965840;0.000000;
1.000032;1.023427;1.002953;0.976607;0.977369;0.998404;0.961760;0.906549;528.379575;31.083873;75.985736;13.617259;475.951486;80.014378;0.000000;181.742542;24.603396;25.107360;7.930313;79.166603;64.528696;0.000000;0.999999;0.999999;0.999999;0.999999;0.999999;0.999999;0.999999;1.034253;1.004441;0.978751;0.978094;1.005722;0.965839;0.000000;
