"time","Unit.measurements.UPu","Unit.measurements.PPu","Unit.measurements.QPu"
0.914,1,0.9999999999999459,0.3
0.915,1,0.9999999999999459,0.3
0.916,1,0.9999999999999459,0.3
0.917,1,0.9999999999999459,0.3
0.918,1,0.9999999999999459,0.3
0.919,1,0.9999999999999459,0.3
0.92,1,0.9999999999999459,0.3
0.921,1,0.9999999999999459,0.3
0.922,1,0.9999999999999459,0.3
0.923,1,0.9999999999999459,0.3
0.924,1,0.9999999999999459,0.3
0.925,1,0.9999999999999459,0.3
0.926,1,0.9999999999999459,0.3
0.927,1,0.9999999999999459,0.3
0.928,1,0.9999999999999459,0.3
0.929,1,0.9999999999999456,0.3
0.93,1,0.9999999999999456,0.3
0.931,1,0.9999999999999456,0.3
0.932,1,0.9999999999999456,0.3
0.933,1,0.9999999999999454,0.3
0.934,1,0.9999999999999454,0.3
0.935,1,0.9999999999999454,0.3
0.936,1,0.9999999999999454,0.3
0.937,1,0.9999999999999454,0.3
0.938,1,0.9999999999999454,0.3
0.939,1,0.9999999999999454,0.3
0.94,1,0.9999999999999454,0.3
0.941,1,0.999999999999945,0.3
0.942,1,0.999999999999945,0.3
0.943,1,0.999999999999945,0.3
0.944,1,0.999999999999945,0.3
0.945,1,0.999999999999945,0.3
0.946,1,0.999999999999945,0.3
0.947,1,0.999999999999945,0.3
0.948,1,0.999999999999945,0.3
0.949,1,0.999999999999945,0.3
0.95,1,0.999999999999945,0.3
0.951,1,0.999999999999945,0.3
0.952,1,0.999999999999945,0.3
0.953,1,0.999999999999945,0.3
0.954,1,0.999999999999945,0.3
0.955,1,0.999999999999945,0.3
0.956,1,0.999999999999945,0.3
0.957,1,0.9999999999999447,0.3
0.958,1,0.9999999999999447,0.3
0.959,1,0.9999999999999447,0.3
0.96,1,0.9999999999999447,0.3
0.961,1,0.9999999999999447,0.3
0.962,1,0.9999999999999447,0.3
0.963,1,0.9999999999999447,0.3
0.964,1,0.9999999999999447,0.3
0.965,1,0.9999999999999445,0.3
0.966,1,0.9999999999999445,0.3
0.967,1,0.9999999999999445,0.3
0.968,1,0.9999999999999445,0.3
0.969,1,0.9999999999999445,0.3
0.97,1,0.9999999999999445,0.3
0.971,1,0.9999999999999445,0.3
0.972,1,0.9999999999999445,0.3
0.973,1,0.9999999999999445,0.3
0.974,1,0.9999999999999444,0.3
0.975,1,0.9999999999999444,0.3
0.976,1,0.9999999999999444,0.3
0.977,1,0.9999999999999444,0.3
0.978,1,0.9999999999999444,0.3
0.979,1,0.9999999999999444,0.3
0.98,1,0.9999999999999444,0.3
0.981,1,0.9999999999999444,0.3
0.982,1,0.9999999999999444,0.3
0.983,1,0.9999999999999444,0.3
0.984,1,0.9999999999999444,0.3
0.985,1,0.9999999999999444,0.3
0.986,1,0.999999999999944,0.3
0.987,1,0.999999999999944,0.3
0.988,1,0.999999999999944,0.3
0.989,1,0.999999999999944,0.3
0.99,1,0.999999999999944,0.3
0.991,1,0.999999999999944,0.3
0.992,1,0.999999999999944,0.3
0.993,1,0.999999999999944,0.3
0.994,1,0.9999999999999438,0.3
0.995,1,0.9999999999999438,0.3
0.996,1,0.9999999999999438,0.3
0.997,1,0.9999999999999438,0.3
0.998,1,0.9999999999999438,0.3
0.999,1,0.9999999999999438,0.3
1,1,0.9999999999999438,0.3
1.001,1,0.9999999999999438,0.3
1.002,1,0.9999999999999435,0.3
1.003,1,0.9999999999999435,0.3
1.004,1,0.9999999999999435,0.3
1.005,1,0.9999999999999435,0.3
1.006,1,0.9999999999999435,0.3
1.007,1,0.9999999999999435,0.3
1.008,1,0.9999999999999435,0.3
1.009,1,0.9999999999999435,0.3
1.01,1,0.9999999999999433,0.3
1.011,1,0.9999999999999433,0.3
