time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
1.034872;6.458542;17.517933;1.002432;-0.000000;2.071426;0.795186;0.118246;0.000000;0.892857;
1.034943;6.458929;17.512183;1.002437;0.000000;2.070067;0.795240;0.118207;0.000000;0.892857;
1.035013;6.459313;17.506442;1.002442;0.000000;2.068710;0.795294;0.118168;0.000000;0.892857;
1.035084;6.459695;17.500711;1.002447;-0.000000;2.067355;0.795348;0.118130;0.000000;0.892857;
1.035155;6.460075;17.494990;1.002452;0.000000;2.066004;0.795403;0.118091;0.000000;0.892857;
1.035296;6.460828;17.483578;1.002462;0.000000;2.063310;0.795512;0.118014;0.000000;0.892857;
1.035437;6.461572;17.472205;1.002472;-0.000000;2.060626;0.795621;0.117937;0.000000;0.892857;
1.035579;6.462307;17.460872;1.002481;0.000000;2.057954;0.795731;0.117861;0.000000;0.892857;
1.035720;6.463033;17.449579;1.002491;-0.000000;2.055293;0.795842;0.117785;0.000000;0.892857;
1.035861;6.463750;17.438325;1.002501;0.000000;2.052643;0.795953;0.117709;0.000000;0.892857;
1.036003;6.464458;17.427111;1.002511;-0.000000;2.050003;0.796064;0.117633;0.000000;0.892857;
1.036144;6.465157;17.415935;1.002521;0.000000;2.047375;0.796176;0.117558;0.000000;0.892857;
1.036286;6.465847;17.404798;1.002531;-0.000000;2.044757;0.796288;0.117482;0.000000;0.892857;
1.036427;6.466529;17.393700;1.002540;0.000000;2.042150;0.796401;0.117407;0.000000;0.892857;
1.036568;6.467201;17.382640;1.002550;-0.000000;2.039554;0.796514;0.117333;0.000000;0.892857;
1.036851;6.468521;17.360635;1.002570;-0.000000;2.034394;0.796741;0.117184;0.000000;0.892857;
1.037106;6.469678;17.340960;1.002588;0.000000;2.029785;0.796947;0.117051;0.000000;0.892857;
1.037360;6.470808;17.321407;1.002605;0.000000;2.025210;0.797155;0.116919;0.000000;0.892857;
1.037615;6.471910;17.301975;1.002623;-0.000000;2.020669;0.797364;0.116788;0.000000;0.892857;
1.037869;6.472985;17.282662;1.002641;-0.000000;2.016160;0.797574;0.116658;0.000000;0.892857;
1.038123;6.474033;17.263468;1.002659;-0.000000;2.011685;0.797786;0.116528;0.000000;0.892857;
1.038378;6.475054;17.244392;1.002676;0.000000;2.007241;0.797999;0.116400;0.000000;0.892857;
1.038632;6.476048;17.225433;1.002694;-0.000000;2.002830;0.798214;0.116272;0.000000;0.892857;
1.038887;6.477016;17.206590;1.002712;-0.000000;1.998450;0.798430;0.116144;0.000000;0.892857;
1.039141;6.477958;17.187862;1.002730;0.000000;1.994102;0.798648;0.116018;0.000000;0.892857;
1.039650;6.479763;17.150745;1.002765;0.000000;1.985499;0.799087;0.115768;0.000000;0.892857;
1.040159;6.481467;17.114076;1.002800;-0.000000;1.977018;0.799532;0.115520;0.000000;0.892857;
1.040668;6.483069;17.077847;1.002836;-0.000000;1.968657;0.799982;0.115275;0.000000;0.892857;
1.041177;6.484573;17.042052;1.002871;0.000000;1.960413;0.800439;0.115034;0.000000;0.892857;
1.041635;6.485843;17.010201;1.002903;-0.000000;1.953092;0.800854;0.114819;0.000000;0.892857;
1.042048;6.486920;16.981826;1.002932;0.000000;1.946581;0.801232;0.114627;0.000000;0.892857;
1.042419;6.487836;16.956521;1.002958;0.000000;1.940784;0.801575;0.114457;0.000000;0.892857;
1.042752;6.488618;16.933932;1.002981;-0.000000;1.935617;0.801887;0.114304;0.000000;0.892857;
1.043053;6.489288;16.913752;1.003002;0.000000;1.931006;0.802169;0.114168;0.000000;0.892857;
1.043321;6.489859;16.895843;1.003021;0.000000;1.926919;0.802423;0.114047;0.000000;0.892857;
